# config  n_knots  n_nodes  x  order  rel_diff
1sg  20  21  2.187762e-04  LO  2.411556e-03
1sg  20  21  2.884032e-04  LO  7.955328e-04
1sg  20  21  3.801894e-04  LO  2.379092e-03
1sg  20  21  5.011872e-04  LO  1.001527e-03
1sg  20  21  6.606934e-04  LO  2.304243e-03
1sg  20  21  8.709636e-04  LO  1.207792e-03
1sg  20  21  1.148154e-03  LO  2.183827e-03
1sg  20  21  1.513561e-03  LO  1.414570e-03
1sg  20  21  1.995262e-03  LO  2.014964e-03
1sg  20  21  2.630268e-03  LO  1.624622e-03
1sg  20  21  3.467369e-03  LO  1.794651e-03
1sg  20  21  4.570882e-03  LO  1.845912e-03
1sg  20  21  6.025596e-03  LO  1.517941e-03
1sg  20  21  7.943282e-03  LO  2.097473e-03
1sg  20  21  1.047129e-02  LO  1.171668e-03
1sg  20  21  1.380384e-02  LO  2.423071e-03
1sg  20  21  1.819701e-02  LO  7.132978e-04
1sg  20  21  2.398833e-02  LO  2.924630e-03
1sg  20  21  3.162278e-02  LO  1.089869e-13
1sg  20  21  4.168694e-02  LO  3.842744e-03
1sg  20  21  5.495409e-02  LO  3.416233e-04
1sg  20  21  7.244360e-02  LO  5.705694e-03
1sg  20  21  9.549926e-02  LO  1.041950e-03
1sg  20  21  1.258925e-01  LO  9.067114e-03
1sg  20  21  1.659587e-01  LO  2.617535e-03
1sg  20  21  2.187762e-01  LO  5.965891e-03
1sg  20  21  2.884032e-01  LO  1.835001e-03
1sg  20  21  3.801894e-01  LO  7.858934e-02
1sg  20  21  5.011872e-01  LO  7.340842e-02
1sg  20  21  6.606934e-01  LO  1.553365e-01
1sg  20  21  2.187762e-04  NLO  1.614856e-03
1sg  20  21  2.884032e-04  NLO  7.542753e-04
1sg  20  21  3.801894e-04  NLO  2.147780e-03
1sg  20  21  5.011872e-04  NLO  1.587502e-03
1sg  20  21  6.606934e-04  NLO  2.871806e-03
1sg  20  21  8.709636e-04  NLO  2.710229e-03
1sg  20  21  1.148154e-03  NLO  3.884367e-03
1sg  20  21  1.513561e-03  NLO  4.223128e-03
1sg  20  21  1.995262e-03  NLO  5.280883e-03
1sg  20  21  2.630268e-03  NLO  6.173817e-03
1sg  20  21  3.467369e-03  NLO  7.043813e-03
1sg  20  21  4.570882e-03  NLO  8.361174e-03
1sg  20  21  6.025596e-03  NLO  8.739451e-03
1sg  20  21  7.943282e-03  NLO  9.886378e-03
1sg  20  21  1.047129e-02  NLO  8.898640e-03
1sg  20  21  1.380384e-02  NLO  8.417033e-03
1sg  20  21  1.819701e-02  NLO  4.269033e-03
1sg  20  21  2.398833e-02  NLO  2.929160e-04
1sg  20  21  3.162278e-02  NLO  9.255154e-03
1sg  20  21  4.168694e-02  NLO  2.106664e-02
1sg  20  21  5.495409e-02  NLO  3.005056e-02
1sg  20  21  7.244360e-02  NLO  4.693341e-02
1sg  20  21  9.549926e-02  NLO  3.287758e-02
1sg  20  21  1.258925e-01  NLO  2.328666e-02
1sg  20  21  1.659587e-01  NLO  5.446376e-02
1sg  20  21  2.187762e-01  NLO  1.081921e-02
1sg  20  21  2.884032e-01  NLO  9.214266e-03
1sg  20  21  3.801894e-01  NLO  4.831990e-02
1sg  20  21  5.011872e-01  NLO  3.762986e-02
1sg  20  21  6.606934e-01  NLO  7.073121e-02
1sg  20  21  2.187762e-04  NNLO  5.521771e-03
1sg  20  21  2.884032e-04  NNLO  4.732019e-03
1sg  20  21  3.801894e-04  NNLO  6.919987e-03
1sg  20  21  5.011872e-04  NNLO  5.950331e-03
1sg  20  21  6.606934e-04  NNLO  8.663954e-03
1sg  20  21  8.709636e-04  NNLO  7.344957e-03
1sg  20  21  1.148154e-03  NNLO  9.596307e-03
1sg  20  21  1.513561e-03  NNLO  6.860323e-03
1sg  20  21  1.995262e-03  NNLO  4.221698e-03
1sg  20  21  2.630268e-03  NNLO  2.571549e-03
1sg  20  21  3.467369e-03  NNLO  1.462998e-02
1sg  20  21  4.570882e-03  NNLO  1.946363e-02
1sg  20  21  6.025596e-03  NNLO  2.866018e-02
1sg  20  21  7.943282e-03  NNLO  2.469784e-02
1sg  20  21  1.047129e-02  NNLO  2.612752e-02
1sg  20  21  1.380384e-02  NNLO  1.770421e-02
1sg  20  21  1.819701e-02  NNLO  1.255493e-02
1sg  20  21  2.398833e-02  NNLO  8.959612e-05
1sg  20  21  3.162278e-02  NNLO  1.178794e-02
1sg  20  21  4.168694e-02  NNLO  3.190948e-02
